
state={
	id=640
	name="STATE_640" # Mandalay
	manpower = 3944600

	state_category = town

	history={
		owner = RAJ
		buildings = {
			infrastructure = 3
		}
		victory_points = {
			1492 1
		}
		victory_points = {
			4425 1
		}
		1935.1.1 = {
			buildings = {
				air_base = 1
			}
		}
		1942.1.1 = {
			controller = JAP
			owner = RAJ
			JAP = {
				set_province_controller = 1170
				set_province_controller = 1492
				set_province_controller = 1566
				set_province_controller = 1607
				set_province_controller = 2061
				set_province_controller = 4175
				set_province_controller = 4210
				set_province_controller = 4425
				set_province_controller = 4585
				set_province_controller = 4654
				set_province_controller = 7400
				set_province_controller = 7469
				set_province_controller = 7562
				set_province_controller = 7603
				set_province_controller = 7647
				set_province_controller = 7909
				set_province_controller = 7974
				set_province_controller = 10386
				set_province_controller = 10920
				set_province_controller = 12317
				set_province_controller = 12335
				set_province_controller = 12363
				set_province_controller = 12404
				set_province_controller = 12464
				set_province_controller = 12492
			}
		}
		1943.1.1 = {
			controller = JAP
			owner = RAJ
			JAP = {
				set_province_controller = 1170
				set_province_controller = 1492
				set_province_controller = 1566
				set_province_controller = 1607
				set_province_controller = 2061
				set_province_controller = 4175
				set_province_controller = 4210
				set_province_controller = 4425
				set_province_controller = 4585
				set_province_controller = 4654
				set_province_controller = 7400
				set_province_controller = 7469
				set_province_controller = 7562
				set_province_controller = 7603
				set_province_controller = 7647
				set_province_controller = 7909
				set_province_controller = 7974
				set_province_controller = 10386
				set_province_controller = 10920
				set_province_controller = 12317
				set_province_controller = 12335
				set_province_controller = 12363
				set_province_controller = 12404
				set_province_controller = 12464
				set_province_controller = 12492
			}
		}
		1944.1.1 = {
			controller = JAP
			owner = RAJ
			JAP = {
				set_province_controller = 1170
				set_province_controller = 1492
				set_province_controller = 1566
				set_province_controller = 1607
				set_province_controller = 2061
				set_province_controller = 4175
				set_province_controller = 4210
				set_province_controller = 4425
				set_province_controller = 4585
				set_province_controller = 4654
				set_province_controller = 7400
				set_province_controller = 7469
				set_province_controller = 7562
				set_province_controller = 7603
				set_province_controller = 7647
				set_province_controller = 7909
				set_province_controller = 7974
				set_province_controller = 10386
				set_province_controller = 10920
				set_province_controller = 12317
				set_province_controller = 12335
				set_province_controller = 12363
				set_province_controller = 12404
				set_province_controller = 12464
				set_province_controller = 12492
				set_province_controller = 8063
				set_province_controller = 4588
				set_province_controller = 1082
				set_province_controller = 1934
				set_province_controller = 4318
				set_province_controller = 4996
			}
		}
		1944.12.1 = {
			controller = JAP
			owner = RAJ
			JAP = {
				set_province_controller = 1082
				set_province_controller = 1170
				set_province_controller = 1197
				set_province_controller = 1492
				set_province_controller = 1566
				set_province_controller = 1607
				set_province_controller = 1934
				set_province_controller = 2061
				set_province_controller = 4087
				set_province_controller = 4175
				set_province_controller = 4210
				set_province_controller = 4318
				set_province_controller = 4425
				set_province_controller = 4585
				set_province_controller = 4588
				set_province_controller = 4654
				set_province_controller = 4996
				set_province_controller = 7400
				set_province_controller = 7469
				set_province_controller = 7562
				set_province_controller = 7603
				set_province_controller = 7647
				set_province_controller = 7909
				set_province_controller = 7974
				set_province_controller = 8063
				set_province_controller = 10386
				set_province_controller = 10486
				set_province_controller = 10920
				set_province_controller = 12317
				set_province_controller = 12335
				set_province_controller = 12363
				set_province_controller = 12404
				set_province_controller = 12464
				set_province_controller = 12492
			}
		}
		1945.1.1 = {
			controller = JAP
			owner = RAJ
			JAP = {
				set_province_controller = 12317
				set_province_controller = 4654
			}
		}
		1947.1.1 = {
			owner = RAJ
			controller = RAJ
		}
	}

	provinces={
		1082 1170 1197 1492 1566 1607 1934 2061 4087 4175 4210 4318 4425 4585 4588 4654 4996 7400 7469 7562 7603 7647 7909 7974 8063 10386 10486 10920 12317 12335 12363 12404 12464 12492
	}
}
