1;arms_factory;2950.00;10.65;1371.00;0.36;0
1;arms_factory;2943.00;10.73;1369.00;4.48;0
1;arms_factory;2952.00;10.65;1363.00;0.86;0
1;arms_factory;2952.00;10.65;1363.00;3.52;0
1;arms_factory;2948.00;12.95;1364.00;0.26;0
1;arms_factory;2949.00;13.13;1365.00;2.93;0
1;industrial_complex;2951.00;10.73;1357.00;5.59;0
1;industrial_complex;2952.00;10.78;1370.00;1.97;0
1;industrial_complex;2947.00;10.13;1372.00;4.99;0
1;industrial_complex;2948.00;12.95;1369.00;6.20;0
1;industrial_complex;2948.00;12.95;1369.00;4.04;0
1;industrial_complex;2951.00;11.63;1365.00;0.42;0
1;air_base;2951.00;11.63;1365.00;3.44;0
1;naval_base;2941.00;9.50;1369.00;-2.60;5555
1;naval_base;2943.00;9.50;1361.00;-0.79;5579
1;naval_base;2952.00;9.50;1377.00;-3.00;5555
1;bunker;2950.00;10.65;1371.00;0.43;0
1;bunker;2946.00;9.60;1355.00;4.55;0
1;bunker;2948.00;13.68;1366.00;0.93;0
1;coastal_bunker;2941.00;9.50;1370.00;-2.60;0
1;coastal_bunker;2947.00;9.68;1373.00;-3.00;0
1;coastal_bunker;2949.00;9.50;1352.00;-0.79;0
1;dockyard;2950.00;9.50;1352.00;-0.79;0
1;anti_air_building;2945.00;9.63;1359.00;0.94;0
1;anti_air_building;2948.00;10.10;1372.00;3.60;0
1;anti_air_building;2948.00;10.10;1372.00;6.26;0
1;synthetic_refinery;2947.00;10.82;1371.00;4.10;0
1;radar_station;2940.00;9.50;1360.00;5.94;0
1;rocket_site;2952.00;11.00;1365.00;2.05;0
1;nuclear_reactor;2945.00;11.70;1366.00;4.71;0
1;trench;2945.00;11.70;1366.00;2.55;0
1;trench;2949.00;10.93;1357.00;4.11;0
1;trench;2951.00;11.38;1363.00;0.49;0
2;arms_factory;3005.00;9.53;1352.00;3.52;0
2;arms_factory;3012.00;11.98;1364.00;0.26;0
2;arms_factory;2991.00;9.68;1365.00;2.93;0
2;arms_factory;3006.00;11.43;1371.00;5.59;0
2;arms_factory;3009.00;11.35;1364.00;1.97;0
2;arms_factory;3001.00;10.03;1365.00;4.99;0
2;industrial_complex;3013.00;11.55;1358.00;6.20;0
2;industrial_complex;3000.00;9.88;1363.00;4.04;0
2;industrial_complex;2994.00;11.00;1372.00;0.42;0
2;industrial_complex;3012.00;12.03;1363.00;3.44;0
2;industrial_complex;2990.00;9.88;1370.00;4.64;0
2;industrial_complex;3005.00;9.53;1352.00;2.48;0
2;air_base;3005.00;10.25;1363.00;0.32;0
2;naval_base;3001.00;9.50;1354.00;-0.46;5656
2;naval_base;3012.00;9.50;1348.00;0.32;1452
2;naval_base;3021.00;9.50;1347.00;0.17;1452
2;naval_base;2988.00;9.50;1367.00;-0.90;5579
2;naval_base;2994.00;9.50;1361.00;-0.93;5656
2;bunker;3000.00;9.88;1363.00;2.99;0
2;bunker;3001.00;9.70;1357.00;4.20;0
2;bunker;2993.00;9.80;1367.00;0.94;0
2;bunker;3005.00;11.03;1371.00;3.60;0
2;bunker;3018.00;11.98;1358.00;6.26;0
2;bunker;3014.00;9.85;1350.00;4.10;0
2;bunker;3017.00;10.75;1353.00;5.66;0
2;coastal_bunker;3004.00;9.50;1351.00;-0.46;0
2;coastal_bunker;3019.00;9.50;1348.00;0.32;0
2;coastal_bunker;2996.00;9.50;1359.00;-0.93;0
2;coastal_bunker;2989.00;9.50;1364.00;-0.90;0
2;coastal_bunker;3021.00;9.50;1347.00;0.17;0
2;dockyard;3008.00;9.50;1350.00;-0.90;0
2;anti_air_building;2999.00;9.68;1361.00;6.18;0
2;anti_air_building;2998.00;10.40;1369.00;1.10;0
2;anti_air_building;3014.00;12.35;1361.00;5.22;0
2;synthetic_refinery;2995.00;10.07;1366.00;3.06;0
2;radar_station;2986.00;9.50;1367.00;5.41;0
2;rocket_site;3007.00;10.55;1360.00;1.00;0
2;nuclear_reactor;2997.00;10.80;1372.00;3.67;0
2;trench;3010.00;10.23;1354.00;0.05;0
2;trench;3004.00;9.73;1356.00;1.61;0
2;trench;2995.00;9.75;1364.00;5.73;0
2;trench;2991.00;9.70;1366.00;0.65;0
2;trench;3008.00;11.95;1369.00;4.78;0
